Date : 2023-07-13 00:12:26
Directory : c:\Users\HP\Documents\e-commerce\e-commerce-ui
Total : 85 files,  2303 codes, 329 comments, 225 blanks, all 2857 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\sizetable.css             | CSS            |         16 |          0 |          2 |         18 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\success.css               | CSS            |         -7 |          6 |          0 |         -1 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\summary.css               | CSS            |         17 |          0 |          3 |         20 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\tab.css                   | CSS            |         14 |          2 |          1 |         17 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\tablet.css                | CSS            |        397 |         10 |          0 |        407 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\arraytoObj_sizebased.js  | JavaScript     |          9 |          0 |          2 |         11 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\calculate.js             | JavaScript     |         -1 |          2 |          0 |          1 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\changeCurrency.js        | JavaScript     |          0 |          0 |         -1 |         -1 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\country.js               | JavaScript     |         12 |          0 |          2 |         14 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\create_discount.js       | JavaScript     |         26 |          1 |          1 |         28 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\currencies.js            | JavaScript     |         10 |          0 |          1 |         11 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\deleteUser.js            | JavaScript     |         19 |          1 |          2 |         22 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\delete_product.js        | JavaScript     |         22 |          1 |          1 |         24 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\geolocate.js             | JavaScript     |          0 |          0 |          1 |          1 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\getShipment.js           | JavaScript     |         10 |          0 |          1 |         11 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\load_image.js            | JavaScript     |          5 |          0 |          0 |          5 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\modify_exchange.js       | JavaScript     |         24 |          5 |          2 |         31 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\modify_product.js        | JavaScript     |         24 |          1 |          1 |         26 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\modify_shipment.js       | JavaScript     |         24 |          5 |          1 |         30 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\process_product_data.js  | JavaScript     |          3 |          0 |          0 |          3 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\send_locked_to_be.js     | JavaScript     |          2 |          0 |          0 |          2 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\suscribe.js              | JavaScript     |         10 |          0 |          1 |         11 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\uri.js                   | JavaScript     |         10 |         25 |          3 |         38 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\verify_admin.js          | JavaScript     |          0 |          0 |          1 |          1 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\verify_discount.js       | JavaScript     |         10 |          0 |          1 |         11 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\socket.js                     | JavaScript     |          0 |          1 |          0 |          1 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\test.css                          | CSS            |         50 |          3 |          9 |         62 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\test.html                         | HTML           |        -31 |          0 |         -4 |        -35 |
| Total                                                                            |                |      2,303 |        329 |        225 |      2,857 |
+----------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
