"filename", "language", "HTML", "JavaScript", "XML", "CSS", "JavaScript JSX", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\dashboard.css", "CSS", 0, 0, 0, 102, 0, 0, 0, 12, 20, 134
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\delivery.css", "CSS", 0, 0, 0, 44, 0, 0, 0, 0, 9, 53
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\display.css", "CSS", 0, 0, 0, 35, 0, 0, 0, 2, 5, 42
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\filter.css", "CSS", 0, 0, 0, 48, 0, 0, 0, 0, 7, 55
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\footer.css", "CSS", 0, 0, 0, 51, 0, 0, 0, 0, 8, 59
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\header.css", "CSS", 0, 0, 0, 25, 0, 0, 0, 0, 2, 27
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\header_resp.css", "CSS", 0, 0, 0, 314, 0, 0, 0, 6, 0, 320
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\login.css", "CSS", 0, 0, 0, 209, 0, 0, 0, 5, 34, 248
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\main.css", "CSS", 0, 0, 0, 20, 0, 0, 0, 0, 2, 22
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\modal.css", "CSS", 0, 0, 0, 88, 0, 0, 0, 0, 14, 102
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\pagination.css", "CSS", 0, 0, 0, 29, 0, 0, 0, 0, 3, 32
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\path.css", "CSS", 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\prod_admin.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\productMain.css", "CSS", 0, 0, 0, 162, 0, 0, 0, 0, 32, 194
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\products.css", "CSS", 0, 0, 0, 93, 0, 0, 0, 1, 14, 108
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\review.css", "CSS", 0, 0, 0, 58, 0, 0, 0, 0, 8, 66
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\specs.css", "CSS", 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\css\success.css", "CSS", 0, 0, 0, 37, 0, 0, 0, 1, 5, 43
