"filename", "language", "HTML", "JavaScript", "CSS", "XML", "JavaScript JSX", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\components\prods_admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 287, 0, 0, 40, 13, 340
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\components\product.jsx", "JavaScript JSX", 0, 0, 0, 0, 92, 0, 0, 52, 9, 153
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\components\productMain.jsx", "JavaScript JSX", 0, 0, 0, 0, 473, 0, 0, 57, 17, 547
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\components\products.jsx", "JavaScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 7, 26
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\components\products_admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 5, 31
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\components\returnPolicy.jsx", "JavaScript JSX", 0, 0, 0, 0, 140, 0, 0, 1, 4, 145
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\components\review.jsx", "JavaScript JSX", 0, 0, 0, 0, 47, 0, 0, 0, 4, 51
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\components\shipment.jsx", "JavaScript JSX", 0, 0, 0, 0, 105, 0, 0, 2, 6, 113
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\components\sizechart.jsx", "JavaScript JSX", 0, 0, 0, 0, 34, 0, 0, 0, 4, 38
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\components\sizes.jsx", "JavaScript JSX", 0, 0, 0, 0, 50, 0, 0, 2, 19, 71
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\components\specs.jsx", "JavaScript JSX", 0, 0, 0, 0, 40, 0, 0, 0, 4, 44
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\components\summary.jsx", "JavaScript JSX", 0, 0, 0, 0, 158, 0, 0, 55, 14, 227
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\components\tab.jsx", "JavaScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 3, 31
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\components\table.jsx", "JavaScript JSX", 0, 0, 0, 0, 66, 0, 0, 0, 3, 69
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\components\tile.jsx", "JavaScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 2, 21
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\components\tileAlert.jsx", "JavaScript JSX", 0, 0, 0, 0, 17, 0, 0, 2, 2, 21
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\components\topNav.jsx", "JavaScript JSX", 0, 0, 0, 0, 59, 0, 0, 11, 3, 73
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\components\view.jsx", "JavaScript JSX", 0, 0, 0, 0, 97, 0, 0, 33, 9, 139
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\config\config.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 1, 0, 5
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\config\continent.js", "JavaScript", 0, 234, 0, 0, 0, 0, 0, 0, 1, 235
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\config\currency.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\about.css", "CSS", 0, 0, 41, 0, 0, 0, 0, 0, 7, 48
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\aboutPic.css", "CSS", 0, 0, 59, 0, 0, 0, 0, 0, 15, 74
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\add_prod.css", "CSS", 0, 0, 115, 0, 0, 0, 0, 19, 19, 153
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\addproducts.css", "CSS", 0, 0, 99, 0, 0, 0, 0, 3, 15, 117
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\calculations.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\cart.css", "CSS", 0, 0, 26, 0, 0, 0, 0, 2, 4, 32
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\cartItem.css", "CSS", 0, 0, 85, 0, 0, 0, 0, 4, 15, 104
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\checkout.css", "CSS", 0, 0, 36, 0, 0, 0, 0, 1, 5, 42
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\dashboard.css", "CSS", 0, 0, 94, 0, 0, 0, 0, 23, 20, 137
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\delivery.css", "CSS", 0, 0, 54, 0, 0, 0, 0, 0, 10, 64
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\display.css", "CSS", 0, 0, 42, 0, 0, 0, 0, 6, 5, 53
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\exchange.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\filter.css", "CSS", 0, 0, 50, 0, 0, 0, 0, 0, 7, 57
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\footer.css", "CSS", 0, 0, 74, 0, 0, 0, 0, 0, 14, 88
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\header.css", "CSS", 0, 0, 25, 0, 0, 0, 0, 0, 2, 27
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\header_resp.css", "CSS", 0, 0, 418, 0, 0, 0, 0, 10, 0, 428
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\login.css", "CSS", 0, 0, 202, 0, 0, 0, 0, 12, 34, 248
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\main.css", "CSS", 0, 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\modal.css", "CSS", 0, 0, 99, 0, 0, 0, 0, 0, 16, 115
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\pagination.css", "CSS", 0, 0, 29, 0, 0, 0, 0, 0, 3, 32
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\path.css", "CSS", 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\policy.css", "CSS", 0, 0, 53, 0, 0, 0, 0, 2, 10, 65
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\prod_admin.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\productMain.css", "CSS", 0, 0, 184, 0, 0, 0, 0, 9, 34, 227
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\products.css", "CSS", 0, 0, 107, 0, 0, 0, 0, 6, 15, 128
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\review.css", "CSS", 0, 0, 58, 0, 0, 0, 0, 1, 8, 67
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\sizes.css", "CSS", 0, 0, 27, 0, 0, 0, 0, 1, 3, 31
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\sizetable.css", "CSS", 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\specs.css", "CSS", 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\success.css", "CSS", 0, 0, 30, 0, 0, 0, 0, 7, 5, 42
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\summary.css", "CSS", 0, 0, 65, 0, 0, 0, 0, 0, 11, 76
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\tab.css", "CSS", 0, 0, 14, 0, 0, 0, 0, 2, 1, 17
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\tablet.css", "CSS", 0, 0, 400, 0, 0, 0, 0, 26, 0, 426
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\topnav.css", "CSS", 0, 0, 76, 0, 0, 0, 0, 11, 12, 99
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\css\view.css", "CSS", 0, 0, 70, 0, 0, 0, 0, 1, 15, 86
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\index.css", "CSS", 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\index.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 3, 4, 17
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\arrayToObject.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\arraytoObj_sizebased.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\authenticate.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 1, 8, 51
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\calculate.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 5, 2, 20
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\calculateAddShip.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 7, 3, 26
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\calculateWeight.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\changeCurrency.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 1, 5, 26
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\change_password.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\convert_to_medium_quality.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 4, 6, 23
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\country.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\create_discount.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 1, 1, 30
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\create_notification.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 6, 8, 50
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\currencies.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\deleteUser.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 1, 2, 22
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\delete_product.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 1, 1, 26
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\destroy_discount.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 1, 2, 25
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\extract_ids.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\fetch_all_orders.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\fetch_orders.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\geolocate.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\getCurrentVersion.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 1, 2, 26
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\getDiscounts.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\getShipment.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\get_category.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\get_user_info.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\lagos_cities.js", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 0, 2, 76
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\load_image.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 5, 7, 37
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\load_product.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 4, 5, 21
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\manageChecked.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\modify_exchange.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 5, 2, 31
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\modify_product.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 1, 1, 26
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\modify_shipment.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 5, 1, 30
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\paginate_products.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 5, 8, 29
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\process_product_data.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 4, 4, 27
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\remove_duplicates.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 4, 3, 19
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\restructure.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 18, 5, 40
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\search_products.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
